Début d'événement;Type d'événement;Ident Type;Lieu de l'événement;Nom Organisme;Type d'organisme;Ident Organisme;Identifiant;Etat;Theme;Style;Categorie;Genre;Ident Genre;Titre;Texte Début;Texte Milieu;Texte Fin;Commune;Département;Code INSEE;Code Postal;Coordonnées GPS;Date Modification;Jour 1;Jour 2;Jour 3;Jour Du;Jour Au;Jour Min;Jour Max;Tarif Mention Gratuit;Tarif Mention Payant;Tarif Général;Tarif Réduit;Tarif Autre;Photo 1 Chemin;Photo 1 Légende;Photo 1 Crédit;Photo 2 Chemin;Photo 2 Légende;Photo 2 Crédit;Photo 3 Chemin;Photo 3 Légende;Photo 3 Crédit;Age Minimum;Age Maximum;Duree;Mention Complet;Mention Accessible Handicap;Liens Billeteries;Liens Vidéos;Liens Sons;Liens Dossiers de Presse;Tags;Groupes;Texte Libre Court;Texte Libre Long
2016-12-15;Atelier, activité de loisirs;31;44/Nantes;compagnie Paq'la lune;Association;223677;5385488;V;Loisir;Loisirs et sports;Atelier, activité de loisirs;Autre;141;Collecte de paroles, animations et apéro soupe;;"Organisés par Paq'la lune. Les artistes de Portraits de quartiers rencontrent les habitants du quartier Nantes nord pour récolter leurs paroles précieuses sur le thème de ""Mon quartier : hier, aujourd'hui, demain"". Livres recettes, coin lecture de 14 h à 20 h.";Jeudi 15 décembre, 9h à 12h30 et 14h à 16h, vendredi 16 décembre, 10h à 12h, Salle associative Winnipeg, 14, rue de la Coulée, Nantes. Gratuit. Contact et réservation : 09 51 33 63 79, nantes@paqlalune.fr, www.paqlalune.fr;Nantes;44;44109;44000;47.26007, -1.576338;2016-12-13;2016-12-15;2016-12-16;;;;2016-12-15;2016-12-16;oui;non;;;;;;;;;;;;;;;;;;;;;;;;;
2016-09-12;Atelier, activité de loisirs;31;44/Nantes;Danse latitude;Association;181539;5221503;V;Loisir;Loisirs et sports;Atelier, activité de loisirs;Cours;218;Danse Modern'jazz, New jazz, barre au sol et pilates;;Cours d'essai gratuit, en fonction des places disponibles, inscription par mail.;Du lundi 12 septembre 2016 au samedi 17 juin 2017, Studio de danse, 20, rue de la Tour-d'Auvergne, Nantes. Contact : contact@danse-latitude.fr, www.danse-latitude.fr;Nantes;44;44109;44000;47.21684, -1.55674;2016-08-26;;;;2016-09-12;2017-06-17;2016-09-12;2017-06-17;non;non;;;;;;;;;;;;;;;;;;;;;;;;;
2016-12-16;Spectacle;21;44/Nantes;théâtre 100-Noms;Équipement à but non lucratif (culture, sport et loisir);259166;5386264;V;Loisir;Concerts, spectacles;Autres scènes;Revue;207;La revue des bananes « Panique à bord »;Revue.;Des rires en cascades, des chansons à mettre le feu, un déferlement de chorégraphies endiablées dans le pur esprit du cabaret burlesque, une vague de magie et de la bonne humeur à tous les étages.;Du vendredi 16 au dimanche 18 décembre, Théâtre 100-Noms, Hangar-à-Bananes, 21, quai des Antilles, Nantes. Tarif 25€, réduit 19€. Contact et réservation : 02 28 20 01 00, www.theatre100noms.com;Nantes;44;44109;44000;47.20091, -1.573082;2016-12-14;;;;2016-12-16;2016-12-18;2016-12-16;2016-12-18;non;oui;25;19;;http://photos.infolocale.fr/infoLocale/annonce/2016/1213/5386264/_1.jpg;;;;;;;;;;;;;;;;;;;;;
2016-11-07;Horaire, permanence;7;44/Nantes;hôtel du Département;Administration, service public, parapublic;331248;5314377;V;Pratique;Vie quotidienne;Horaires, ouverture, permanence;Permanence;87;Lyliane Jean, vice-présidente action sociale de proximité et insertion hôtel du Département;Permanence.;Sur rendez-vous.;Lundi 7 novembre 2016, lundi 5 décembre 2016, lundi 9 janvier 2017, 14h à 16h, Maison du quartier du Breil, 52, rue du Breil, Nantes. Contact et réservation : 02 40 99 10 18, isabelle.drouet@loire-atlantique.fr;Nantes;44;44109;44000;47.22988, -1.586175;2016-10-24;2016-11-07;2016-12-05;2017-01-09;;;2016-11-07;2017-01-09;non;non;;;;;;;;;;;;;;;;;;;;;;;;;
2016-12-16;Concert;15;44/Nantes;le café Rouge-Mécanique;Autre organisme à but non lucratif;304439;5209122;V;Loisir;Concerts, spectacles;Concert, spectacle musical;Rock;161;Roman en solo et en acoustique;Rock.;Gaume : Timide sûrement, discret souvent, talentueux indéniablement, le charismatique leader aux yeux bleus vient avec ce 3e opus offrir plus qu'un album mais un double album, une véritable invitation à visiter les tréfonds de son âme, sensible et écorchée à la fois, tout aussi fragile que serein.;Vendredi 16 décembre, 21h, Le café Rouge-Mécanique, 10, rue Bon-Secours, Nantes. Gratuit.;Nantes;44;44109;44000;47.21346, -1.553543;2016-08-19;2016-12-16;;;;;2016-12-16;2016-12-16;oui;non;;;;http://photos.infolocale.fr/infoLocale/annonce/2016/0815/5209122/_1.jpg;;;;;;;;;;;;;;;;;;;;;
2016-12-16;Spectacle;21;44/Nantes;théâtre Beaulieu, compagnie Même pas cap;Association;28032;5236154;V;Loisir;Concerts, spectacles;Autres scènes;Théâtre;5;« Panique au Plazza » de Ray Cooney, compagnie Même pas cap;Théâtre.;Vaudeville de chez vaudeville, avec ses classiques portes et fenêtres qui claquent, ses mensonges à tiroir, ses penderies de secours, Panique au Plazza vous oblige à renoncer à tout bon sens. Un moment de pure folie à déguster sans modération.;Vendredi 16 décembre, 20h45, samedi 17 décembre, 20h45, dimanche 18 décembre, 15h45, Théâtre Beaulieu, 9, boulevard Vincent-Gâche, Nantes. Tarif 16€. Contact : 02 49 10 63 10, contact@theatrebeaulieu.fr, www.theatrebeaulieu.fr;Nantes;44;44109;44000;47.20642, -1.542222;2016-09-14;2016-12-16;2016-12-17;2016-12-18;;;2016-12-16;2016-12-18;non;oui;16;;;http://photos.infolocale.fr/infoLocale/annonce/2016/0902/5236154/_1.jpg;Panique au Plazza de Ray Cooney;"Cie ""Même Pas Cap""";;;;;;;;;;;Moteur;;;;;;;;
2016-12-15;Spectacle;21;44/Nantes;la compagnie du Café-Théâtre;Équipement à but non lucratif (culture, sport et loisir);15659;5366488;V;Loisir;Concerts, spectacles;Autres scènes;Café-théâtre;219;Mehla, Fat and furious;Café-théâtre.;Un spectacle qui ne sera pas en anglais, qui ne parlera pas de l’Algérie (un exploit pour son auteur), ni du métro, où vous n’entendrez aucun accent, mais qui contiendra probablement les mots catéchisme et frigo.;Du jeudi 15 au samedi 17 décembre, 19h à 20h30, La compagnie du Café-Théâtre, 6, rue des Carmélites, Nantes. Tarif 15€, réduit 10€. Réservation avant le 15 décembre. Contact : 02 40 89 65 01, infos@lacompagnieducafetheatre.fr, http://www.nantes-spectacles.com/cie865-melha.html;Nantes;44;44109;44000;47.21656, -1.551213;2016-11-30;;;;2016-12-15;2016-12-17;2016-12-15;2016-12-17;non;oui;15;10;;http://photos.infolocale.fr/infoLocale/annonce/2016/1129/5366488/_1.jpg;Melha - Fat and Furious premières dates à Nantes;;;;;;;;;;;;;;;;;;;;
2016-12-15;Acheter, chiner;37;44/Nantes;Bethléem Arco Iris;Association;320302;5386243;V;Loisir;Acheter, chiner;Marchés;Marché de Noël;276;Marché de Noël;;Vente d'artisant colombien et de spécialités colombiennes au profit de l'association Bethléem Arco Iris qui aide les enfants en France et en Colombie avec les soeurs du Carmel Apostolique Notre-Dame de Bethléem.;Du jeudi 15 au jeudi 22 décembre, 14h à 18h, Bethléem, 4, rue Censive-du-Tertre, Nantes. Contact : 02 40 74 19 27.;Nantes;44;44109;44000;47.24187, -1.553092;2016-12-14;;;;2016-12-15;2016-12-22;2016-12-15;2016-12-22;non;non;;;;;;;;;;;;;;;;;;;;;;;;;
2016-12-17;Concert;15;44/Nantes;le café Rouge-Mécanique;Autre organisme à but non lucratif;304439;5288603;V;Loisir;Concerts, spectacles;Concert, spectacle musical;Rock;161;L'arnaque avec Rimo;Rock. Samedi 17 décembre, 21h, Le café Rouge-Mécanique, 10, rue Bon-Secours, Nantes. Gratuit.;;;Nantes;44;44109;44000;47.21346, -1.553543;2016-10-06;2016-12-17;;;;;2016-12-17;2016-12-17;oui;non;;;;http://photos.infolocale.fr/infoLocale/annonce/2016/1005/5288603/_1.jpg;;;;;;;;;;;;;;;;;;;;;
2016-12-02;Exposition, musée;23;44/Nantes;Haus;Association;341050;5365577;V;Loisir;Voir visiter;Exposition, musée;Exposition;149;Michael Roy « I remember. Je me souviens »;Exposition.;L’œuvre de Michael Roy a la particularité de faire sans être faite. Des films sans caméra, une œuvre basée sur une image ou un texte préexistant, une fiction basée sur d’autres fictions.;Du vendredi 2 au vendredi 16 décembre, 18h30, Haus, 40, rue la Noue-Bras-de-Fer, Nantes. Gratuit. Contact : contact@haus-block.fr, https://www.facebook.com/HAUS.BLOCK/;Nantes;44;44109;44000;47.20679, -1.563978;2016-11-29;;;;2016-12-02;2016-12-16;2016-12-02;2016-12-16;oui;non;;;;http://photos.infolocale.fr/infoLocale/annonce/2016/1128/5365577/_1.jpg;I remember / Je me souviens;Michael Roy;;;;;;;;;;;Auditif|Mental;;;;;;;;
2016-12-16;Concert;15;44/Nantes;le Filtre à sons;Association;290636;5387527;V;Loisir;Concerts, spectacles;Concert, spectacle musical;Electro;162;Soirée sauvage avec Sauvagerie production et le Filtre à sons;Electro.;Avec Valeskja Valcav, Les modules étranges, Eka faune, Vinaï, Gabriel Vogel, danse d’Émilie Barteau. Mix, expo sérigraphies, visuels et projection par Guyseika.;Vendredi 16 décembre, 20h, Ateliers de Bitche, 3, rue de Bitche, Nantes. Tarif prix libre. Contact et réservation : 06 71 44 25 95, lefiltre.a.sons@gmail.com, www.lefiltreasons.com;Nantes;44;44109;44000;47.21257, -1.541259;2016-12-14;2016-12-16;;;;;2016-12-16;2016-12-16;non;oui;;;prix libre;http://photos.infolocale.fr/infoLocale/annonce/2016/1214/5387527/_1.jpg;Sauvagerie Prod & La Filtre à Sons;Sauvagerie Prod & La Filtre à Sons;;;;;;;;;;;;;;;;;;;
2016-12-17;Visite;27;44/Nantes;Grand patrimoine de Loire-Atlantique;Équipement à but non lucratif (culture, sport et loisir);267219;5290282;V;Loisir;Voir visiter;Sorties, visites (monuments, parcs, zoo,...);Visite;148;Visite guidée : l'écrin du coeur d'Anne de Bretagne en 3D;;Le fabuleux écrin en or est présenté actuellement dans l'exposition Voyage dans les collections, acte 2. Admirer et découvrir son histoire grâce à une application 3D sur écran tactile. Manipulation virtuelle et en comprendre la fabrication et la symbolique. Durée : 45 min.;Samedi 17 décembre, 15h, Musée Dobrée, 18, rue Voltaire, Nantes. Tarif 3€, réduit 2€, autre : gratuit pour les moins de 14 ans accompagnés et les visiteurs en situation de handicap. Contact et réservation : 02 40 71 05 79, musee.dobree@loire-atlantique.fr, http://grand-patrimoine.loire-atlantique.fr/exposition-voyage;Nantes;44;44109;44000;47.21204, -1.566282;2016-10-14;2016-12-17;;;;;2016-12-17;2016-12-17;non;oui;3;2;gratuit pour les moins de 14 ans accompagnés et les visiteurs en situation de handicap.;http://photos.infolocale.fr/infoLocale/annonce/2016/1006/5290282/_1.jpg;;© H. Neveu-Dérotrie / Grand Patrimoine de Loire-Atlantique;;;;;;;;;;;;;;;;;;;
2016-12-13;Visite;27;44/Nantes;Grand patrimoine de Loire-Atlantique;Équipement à but non lucratif (culture, sport et loisir);267219;5176391;V;Loisir;Voir visiter;Sorties, visites (monuments, parcs, zoo,...);Visite;148;Visite de l'exposition Voyage dans les collections - acte 2;;Visite guidée pour découvrir ou redécouvrir la richesse et l'éclectisme des collections du musée Dobrée au travers de plus de 350 œuvres. Durée : 1 h.;Du mardi 13 au dimanche 18 décembre, 16h, Musée Dobrée, 18, rue Voltaire, Nantes. Tarif 3€, réduit 2€, autre : gratuit pour les moins de 14 ans accompagnés et les visiteurs en situation de handicap. Contact et réservation : 02 40 71 05 79, musee.dobree@loire-atlantique.fr, http://grand-patrimoine.loire-atlantique.fr/exposition-voyage;Nantes;44;44109;44000;47.21204, -1.566282;2016-07-08;;;;2016-12-13;2016-12-18;2016-12-13;2016-12-18;non;oui;3;2;gratuit pour les moins de 14 ans accompagnés et les visiteurs en situation de handicap.;;;;;;;;;;;;;;;;;;;;;;
2016-12-17;Concert;15;44/Nantes;café culturel le Zygo bar;Équipement à but non lucratif (culture, sport et loisir);234162;5365734;V;Loisir;Concerts, spectacles;Concert, spectacle musical;Autre;168;Havana Si (musique cubaine traditionnelle);Samedi 17 décembre, 21h, Le Zygo bar, 35, rue des Olivettes, Nantes. Tarif 5€.;;;Nantes;44;44109;44000;47.21088, -1.54894;2016-12-08;2016-12-17;;;;;2016-12-17;2016-12-17;non;oui;5;;;http://photos.infolocale.fr/infoLocale/annonce/2016/1128/5365734/_1.jpg;Havana Si;;;;;;;;;;;;;;;;;;;;
2016-12-16;Concert;15;44/Nantes;café culturel le Zygo bar;Équipement à but non lucratif (culture, sport et loisir);234162;5365727;V;Loisir;Concerts, spectacles;Concert, spectacle musical;Autre;168;The Doo-doo chasers;;Funk.;Vendredi 16 décembre, 21h, Le Zygo bar, 35, rue des Olivettes, Nantes. Gratuit.;Nantes;44;44109;44000;47.21088, -1.54894;2016-12-08;2016-12-16;;;;;2016-12-16;2016-12-16;oui;non;;;;http://photos.infolocale.fr/infoLocale/annonce/2016/1128/5365727/_1.jpg;The Doo-doo Chasers;;;;;;;;;;;;;;;;;;;;
2016-12-18;Visite;27;44/Nantes;le Voyage à Nantes, direction du développement touristique;Office de tourisme, syndicat d'initiative;242758;5281190;V;Loisir;Voir visiter;Sorties, visites (monuments, parcs, zoo,...);Visite;148;Promenade nantaise;;L'essentiel de Nantes en 2 h du château des Ducs-de-Bretagne à l'île Feydeau, aux quais de Bretagne sans manquer le passage Pommeraye et la nouvelle place Graslin.;Dimanche 18, lundi 19 décembre, 14h30, Nantes tourisme, 9, rue des États, Nantes. Tarif 7€, réduit 4€, autre : gratuit pour les moins de 12 ans et avec le pass Nantes. Contact et réservation : 08 92 46 40 44, info@nantes-tourisme.com, www.nantes-tourisme.com;Nantes;44;44109;44000;47.21571, -1.550578;2016-10-04;2016-12-18;2016-12-19;;;;2016-12-18;2016-12-19;non;oui;7;4;gratuit pour les moins de 12 ans et avec le pass Nantes;http://photos.infolocale.fr/infoLocale/annonce/2016/0930/5281190/_1.jpg;Passage Pommeraye;© Nautilus Nantes;;;;;;;;;;;;;;;;;;;
2016-12-16;Visite;27;44/Nantes;le Voyage à Nantes, direction du développement touristique;Office de tourisme, syndicat d'initiative;242758;5281185;V;Loisir;Voir visiter;Sorties, visites (monuments, parcs, zoo,...);Visite;148;Promenade nantaise;;L'essentiel de Nantes en 2 h du château des Ducs-de-Bretagne à l'île Feydeau, aux quais de Bretagne sans manquer le passage Pommeraye et la nouvelle place Graslin.;Vendredi 16 décembre, 14h30, Nantes tourisme, 9, rue des États, Nantes. Tarif 7€, réduit 4€, autre : gratuit pour les moins de 12 ans et avec le pass Nantes. Contact et réservation : 08 92 46 40 44, info@nantes-tourisme.com, www.nantes-tourisme.com;Nantes;44;44109;44000;47.21571, -1.550578;2016-10-04;2016-12-16;;;;;2016-12-16;2016-12-16;non;oui;7;4;gratuit pour les moins de 12 ans et avec le pass Nantes;http://photos.infolocale.fr/infoLocale/annonce/2016/0930/5281185/_1.jpg;Passage Pommeraye;© Nautilus Nantes;;;;;;;;;;;;;;;;;;;
2016-12-16;Visite;27;44/Nantes;le Voyage à Nantes, direction du développement touristique;Office de tourisme, syndicat d'initiative;242758;5284166;V;Loisir;Voir visiter;Sorties, visites (monuments, parcs, zoo,...);Visite;148;Nantes médiévale : visite sensorielle;;Observer le château à la longue vue, se laisser guider à la voix dans le square de la Psalette, admirer les hauteurs de la cathédrale dans un miroir. Plus qu'une simple visite, c'est une expérience à vivre dans le quartier moyenâgeux.;Vendredi 16 décembre, 10h30, Nantes tourisme, 9, rue des États, Nantes. Tarif 7€, réduit 4€, autre : gratuit pour les moins de 12 ans et avec le pass Nantes. Contact et réservation : 08 92 46 40 44, info@nantes-tourisme.com, www.nantes-tourisme.com;Nantes;44;44109;44000;47.21567, -1.550749;2016-10-04;2016-12-16;;;;;2016-12-16;2016-12-16;non;oui;7;4;gratuit pour les moins de 12 ans et avec le pass Nantes.;http://photos.infolocale.fr/infoLocale/annonce/2016/1003/5284166/_1.jpg;Nantes Médiévale;;;;;;;;;;;;;;;;;;;;
2016-12-18;Concert;15;44/Nantes;le Nid;Équipement à but non lucratif (culture, sport et loisir);262907;5352233;V;Loisir;Concerts, spectacles;Concert, spectacle musical;Jazz;17;La Sundy de Christmas In Jazz;Jazz.;Un Père Noël à 4 têtes : Valéry Haumont (chant et batterie), Pierre-Yves Mérel (saxophone), Guillaume Hazebrouck (piano) Simon Mary (contrebasse). Jazz Standards & American Christmas songs... Un avant-goût de Noël au son du Jazz...;Dimanche 18 décembre, 19h, Le Nid, Nantes. Tarif 1€. Contact : 02 40 35 36 49, proglenid@gmail.com, https://www.facebook.com/SundyAuNid;Nantes;44;44109;44000;47.21791, -1.558524;2016-12-08;2016-12-18;;;;;2016-12-18;2016-12-18;non;oui;1;;;http://photos.infolocale.fr/infoLocale/annonce/2016/1119/5352233/_1.jpg;Christmas In Jazz;Christmas In Jazz;;;;;;;;;;;;;;;;;;;
